seq_id,family,species,model,embedding_dim
HSP70|Zosterops_borbonicus,HSP70,Zosterops_borbonicus,esm2_t12_35M_UR50D,480
HSP70|Meleagris_gallopavo,HSP70,Meleagris_gallopavo,esm2_t12_35M_UR50D,480
HSP70|Haliotis_rufescens,HSP70,Haliotis_rufescens,esm2_t12_35M_UR50D,480
HSP70|Eulemur_rufifrons,HSP70,Eulemur_rufifrons,esm2_t12_35M_UR50D,480
HSP70|Onchocerca_ochengi,HSP70,Onchocerca_ochengi,esm2_t12_35M_UR50D,480
HSP70|Callorhinus_ursinus,HSP70,Callorhinus_ursinus,esm2_t12_35M_UR50D,480
HSP70|Vicugna_pacos,HSP70,Vicugna_pacos,esm2_t12_35M_UR50D,480
HSP70|Mustela_putorius_furo,HSP70,Mustela_putorius_furo,esm2_t12_35M_UR50D,480
HSP70|Musotima_nitidalis,HSP70,Musotima_nitidalis,esm2_t12_35M_UR50D,480
HSP70|Pleurodeles_waltl,HSP70,Pleurodeles_waltl,esm2_t12_35M_UR50D,480
HSP70|Chelonus_insularis,HSP70,Chelonus_insularis,esm2_t12_35M_UR50D,480
HSP70|Pedinophyceae_sp._YPF-701,HSP70,Pedinophyceae_sp._YPF-701,esm2_t12_35M_UR50D,480
HSP70|Carlito_syrichta,HSP70,Carlito_syrichta,esm2_t12_35M_UR50D,480
HSP70|Scaeva_pyrastri,HSP70,Scaeva_pyrastri,esm2_t12_35M_UR50D,480
HSP70|Oncorhynchus_nerka,HSP70,Oncorhynchus_nerka,esm2_t12_35M_UR50D,480
HSP70|Hyles_vespertilio,HSP70,Hyles_vespertilio,esm2_t12_35M_UR50D,480
HSP70|Bactrocera_oleae,HSP70,Bactrocera_oleae,esm2_t12_35M_UR50D,480
HSP70|Homarus_americanus,HSP70,Homarus_americanus,esm2_t12_35M_UR50D,480
HSP70|Mya_arenaria,HSP70,Mya_arenaria,esm2_t12_35M_UR50D,480
HSP70|Oreochromis_niloticus,HSP70,Oreochromis_niloticus,esm2_t12_35M_UR50D,480
HSP70|Bombus_terrestris,HSP70,Bombus_terrestris,esm2_t12_35M_UR50D,480
HSP70|Zerene_cesonia,HSP70,Zerene_cesonia,esm2_t12_35M_UR50D,480
HSP70|Diachrysia_chrysitis,HSP70,Diachrysia_chrysitis,esm2_t12_35M_UR50D,480
HSP70|Anaspis_maculata,HSP70,Anaspis_maculata,esm2_t12_35M_UR50D,480
HSP70|Biomphalaria_glabrata,HSP70,Biomphalaria_glabrata,esm2_t12_35M_UR50D,480
HSP70|Dendrolimus_punctatus,HSP70,Dendrolimus_punctatus,esm2_t12_35M_UR50D,480
HSP70|Dermochelys_coriacea,HSP70,Dermochelys_coriacea,esm2_t12_35M_UR50D,480
HSP70|Mythimna_loreyi,HSP70,Mythimna_loreyi,esm2_t12_35M_UR50D,480
HSP70|Schistosoma_guineensis,HSP70,Schistosoma_guineensis,esm2_t12_35M_UR50D,480
HSP70|Venusia_cambrica,HSP70,Venusia_cambrica,esm2_t12_35M_UR50D,480
HSP70|Hydriomena_furcata,HSP70,Hydriomena_furcata,esm2_t12_35M_UR50D,480
HSP70|Vespula_pensylvanica,HSP70,Vespula_pensylvanica,esm2_t12_35M_UR50D,480
HSP70|Aethina_tumida,HSP70,Aethina_tumida,esm2_t12_35M_UR50D,480
HSP70|Lycaena_phlaeas,HSP70,Lycaena_phlaeas,esm2_t12_35M_UR50D,480
HSP70|Culex_pipiens_pallens,HSP70,Culex_pipiens_pallens,esm2_t12_35M_UR50D,480
HSP70|Xestia_sexstrigata,HSP70,Xestia_sexstrigata,esm2_t12_35M_UR50D,480
HSP70|Agriphila_tristella,HSP70,Agriphila_tristella,esm2_t12_35M_UR50D,480
HSP70|Giardia_intestinalis,HSP70,Giardia_intestinalis,esm2_t12_35M_UR50D,480
HSP70|Lobophora_halterata,HSP70,Lobophora_halterata,esm2_t12_35M_UR50D,480
HSP70|Trichinella_patagoniensis,HSP70,Trichinella_patagoniensis,esm2_t12_35M_UR50D,480
HSP70|Cervus_elaphus,HSP70,Cervus_elaphus,esm2_t12_35M_UR50D,480
HSP70|Epicampocera_succincta,HSP70,Epicampocera_succincta,esm2_t12_35M_UR50D,480
HSP70|Lamellibrachia_satsuma,HSP70,Lamellibrachia_satsuma,esm2_t12_35M_UR50D,480
HSP70|Sparganum_proliferum,HSP70,Sparganum_proliferum,esm2_t12_35M_UR50D,480
HSP70|Tapirus_indicus,HSP70,Tapirus_indicus,esm2_t12_35M_UR50D,480
HSP70|Drosophila_ficusphila,HSP70,Drosophila_ficusphila,esm2_t12_35M_UR50D,480
HSP70|Electrophaes_corylata,HSP70,Electrophaes_corylata,esm2_t12_35M_UR50D,480
HSP70|Leptopilina_boulardi,HSP70,Leptopilina_boulardi,esm2_t12_35M_UR50D,480
HSP70|Oryzias_latipes,HSP70,Oryzias_latipes,esm2_t12_35M_UR50D,480
HSP70|Verasper_variegatus,HSP70,Verasper_variegatus,esm2_t12_35M_UR50D,480
HSP70|Acanthopagrus_latus,HSP70,Acanthopagrus_latus,esm2_t12_35M_UR50D,480
HSP70|Dipus_sagitta,HSP70,Dipus_sagitta,esm2_t12_35M_UR50D,480
HSP70|Volucella_bombylans,HSP70,Volucella_bombylans,esm2_t12_35M_UR50D,480
HSP70|Podarcis_raffonei,HSP70,Podarcis_raffonei,esm2_t12_35M_UR50D,480
HSP70|Platypus_cylindrus,HSP70,Platypus_cylindrus,esm2_t12_35M_UR50D,480
HSP70|Allacma_fusca,HSP70,Allacma_fusca,esm2_t12_35M_UR50D,480
HSP70|Thumatha_senex,HSP70,Thumatha_senex,esm2_t12_35M_UR50D,480
HSP70|Spodoptera_frugiperda,HSP70,Spodoptera_frugiperda,esm2_t12_35M_UR50D,480
HSP70|Apocheima_hispidaria,HSP70,Apocheima_hispidaria,esm2_t12_35M_UR50D,480
HSP70|Aporia_crataegi,HSP70,Aporia_crataegi,esm2_t12_35M_UR50D,480
HSP70|Parambassis_ranga,HSP70,Parambassis_ranga,esm2_t12_35M_UR50D,480
HSP70|Cercocebus_atys,HSP70,Cercocebus_atys,esm2_t12_35M_UR50D,480
HSP70|Acromyrmex_charruanus,HSP70,Acromyrmex_charruanus,esm2_t12_35M_UR50D,480
HSP70|Vidua_chalybeata,HSP70,Vidua_chalybeata,esm2_t12_35M_UR50D,480
HSP70|Polyodon_spathula,HSP70,Polyodon_spathula,esm2_t12_35M_UR50D,480
HSP70|Portevinia_maculata,HSP70,Portevinia_maculata,esm2_t12_35M_UR50D,480
HSP70|Mugil_cephalus,HSP70,Mugil_cephalus,esm2_t12_35M_UR50D,480
HSP70|Eupeodes_luniger,HSP70,Eupeodes_luniger,esm2_t12_35M_UR50D,480
HSP70|Vanessa_tameamea,HSP70,Vanessa_tameamea,esm2_t12_35M_UR50D,480
HSP70|Paramuricea_clavata,HSP70,Paramuricea_clavata,esm2_t12_35M_UR50D,480
HSP70|Triparma_laevis_f._longispina,HSP70,Triparma_laevis_f._longispina,esm2_t12_35M_UR50D,480
HSP70|Caerostris_darwini,HSP70,Caerostris_darwini,esm2_t12_35M_UR50D,480
HSP70|Mauremys_mutica,HSP70,Mauremys_mutica,esm2_t12_35M_UR50D,480
HSP70|Nycticebus_bengalensis,HSP70,Nycticebus_bengalensis,esm2_t12_35M_UR50D,480
HSP70|Solenopsis_invicta,HSP70,Solenopsis_invicta,esm2_t12_35M_UR50D,480
HSP70|Sphenella_marginata,HSP70,Sphenella_marginata,esm2_t12_35M_UR50D,480
HSP70|Ctenocephalides_felis,HSP70,Ctenocephalides_felis,esm2_t12_35M_UR50D,480
HSP70|Manduca_sexta,HSP70,Manduca_sexta,esm2_t12_35M_UR50D,480
HSP70|Catocala_fraxini,HSP70,Catocala_fraxini,esm2_t12_35M_UR50D,480
HSP70|Pangasianodon_gigas,HSP70,Pangasianodon_gigas,esm2_t12_35M_UR50D,480
RPS3|Lama_guanicoe_cacsilensis,RPS3,Lama_guanicoe_cacsilensis,esm2_t12_35M_UR50D,480
RPS3|Hirtodrosophila_cameraria,RPS3,Hirtodrosophila_cameraria,esm2_t12_35M_UR50D,480
RPS3|Chaetops_frenatus,RPS3,Chaetops_frenatus,esm2_t12_35M_UR50D,480
RPS3|Wallemia_ichthyophaga_EXF-994,RPS3,Wallemia_ichthyophaga_EXF-994,esm2_t12_35M_UR50D,480
RPS3|Tieghemostelium_lacteum,RPS3,Tieghemostelium_lacteum,esm2_t12_35M_UR50D,480
RPS3|Coemansia_sp._S2,RPS3,Coemansia_sp._S2,esm2_t12_35M_UR50D,480
RPS3|Penicillium_freii,RPS3,Penicillium_freii,esm2_t12_35M_UR50D,480
RPS3|Ateles_geoffroyi,RPS3,Ateles_geoffroyi,esm2_t12_35M_UR50D,480
RPS3|Cryptomeria_japonica,RPS3,Cryptomeria_japonica,esm2_t12_35M_UR50D,480
RPS3|Actinidia_chinensis_var._chinensis,RPS3,Actinidia_chinensis_var._chinensis,esm2_t12_35M_UR50D,480
RPS3|Eudyptes_robustus,RPS3,Eudyptes_robustus,esm2_t12_35M_UR50D,480
RPS3|Venturia_canescens,RPS3,Venturia_canescens,esm2_t12_35M_UR50D,480
RPS3|Lasiosphaeria_miniovina,RPS3,Lasiosphaeria_miniovina,esm2_t12_35M_UR50D,480
RPS3|Saprochaete_ingens,RPS3,Saprochaete_ingens,esm2_t12_35M_UR50D,480
RPS3|Tulosesus_angulatus,RPS3,Tulosesus_angulatus,esm2_t12_35M_UR50D,480
RPS3|Fusarium_proliferatum_ET1,RPS3,Fusarium_proliferatum_ET1,esm2_t12_35M_UR50D,480
RPS3|Lasioglossum_pauxillum,RPS3,Lasioglossum_pauxillum,esm2_t12_35M_UR50D,480
RPS3|Callithrix_jacchus,RPS3,Callithrix_jacchus,esm2_t12_35M_UR50D,480
RPS3|Microctonus_hyperodae,RPS3,Microctonus_hyperodae,esm2_t12_35M_UR50D,480
RPS3|Mythimna_loreyi,RPS3,Mythimna_loreyi,esm2_t12_35M_UR50D,480
RPS3|Coprinopsis_cinerea_okayama7#130,RPS3,Coprinopsis_cinerea_okayama7#130,esm2_t12_35M_UR50D,480
RPS3|Notocelia_uddmanniana,RPS3,Notocelia_uddmanniana,esm2_t12_35M_UR50D,480
RPS3|Aspergillus_flavus,RPS3,Aspergillus_flavus,esm2_t12_35M_UR50D,480
RPS3|Boletus_edulis,RPS3,Boletus_edulis,esm2_t12_35M_UR50D,480
RPS3|Diaporthaceae_sp._PMI_573,RPS3,Diaporthaceae_sp._PMI_573,esm2_t12_35M_UR50D,480
RPS3|Lutra_lutra,RPS3,Lutra_lutra,esm2_t12_35M_UR50D,480
RPS3|Ceratitis_capitata,RPS3,Ceratitis_capitata,esm2_t12_35M_UR50D,480
RPS3|Panicum_hallii,RPS3,Panicum_hallii,esm2_t12_35M_UR50D,480
RPS3|Teloschistes_peruensis,RPS3,Teloschistes_peruensis,esm2_t12_35M_UR50D,480
RPS3|Physcia_stellaris,RPS3,Physcia_stellaris,esm2_t12_35M_UR50D,480
RPS3|Anoplophora_glabripennis,RPS3,Anoplophora_glabripennis,esm2_t12_35M_UR50D,480
