seq_id,family,species
HSP70|Zosterops_borbonicus,HSP70,Zosterops_borbonicus
HSP70|Meleagris_gallopavo,HSP70,Meleagris_gallopavo
HSP70|Haliotis_rufescens,HSP70,Haliotis_rufescens
HSP70|Eulemur_rufifrons,HSP70,Eulemur_rufifrons
HSP70|Onchocerca_ochengi,HSP70,Onchocerca_ochengi
HSP70|Callorhinus_ursinus,HSP70,Callorhinus_ursinus
HSP70|Vicugna_pacos,HSP70,Vicugna_pacos
HSP70|Mustela_putorius_furo,HSP70,Mustela_putorius_furo
HSP70|Musotima_nitidalis,HSP70,Musotima_nitidalis
HSP70|Pleurodeles_waltl,HSP70,Pleurodeles_waltl
HSP70|Chelonus_insularis,HSP70,Chelonus_insularis
HSP70|Pedinophyceae_sp._YPF-701,HSP70,Pedinophyceae_sp._YPF-701
HSP70|Carlito_syrichta,HSP70,Carlito_syrichta
HSP70|Scaeva_pyrastri,HSP70,Scaeva_pyrastri
HSP70|Oncorhynchus_nerka,HSP70,Oncorhynchus_nerka
HSP70|Hyles_vespertilio,HSP70,Hyles_vespertilio
HSP70|Bactrocera_oleae,HSP70,Bactrocera_oleae
HSP70|Homarus_americanus,HSP70,Homarus_americanus
HSP70|Mya_arenaria,HSP70,Mya_arenaria
HSP70|Oreochromis_niloticus,HSP70,Oreochromis_niloticus
HSP70|Bombus_terrestris,HSP70,Bombus_terrestris
HSP70|Zerene_cesonia,HSP70,Zerene_cesonia
HSP70|Diachrysia_chrysitis,HSP70,Diachrysia_chrysitis
HSP70|Anaspis_maculata,HSP70,Anaspis_maculata
HSP70|Biomphalaria_glabrata,HSP70,Biomphalaria_glabrata
HSP70|Dendrolimus_punctatus,HSP70,Dendrolimus_punctatus
HSP70|Dermochelys_coriacea,HSP70,Dermochelys_coriacea
HSP70|Mythimna_loreyi,HSP70,Mythimna_loreyi
HSP70|Schistosoma_guineensis,HSP70,Schistosoma_guineensis
HSP70|Venusia_cambrica,HSP70,Venusia_cambrica
HSP70|Hydriomena_furcata,HSP70,Hydriomena_furcata
HSP70|Vespula_pensylvanica,HSP70,Vespula_pensylvanica
HSP70|Aethina_tumida,HSP70,Aethina_tumida
HSP70|Lycaena_phlaeas,HSP70,Lycaena_phlaeas
HSP70|Culex_pipiens_pallens,HSP70,Culex_pipiens_pallens
HSP70|Xestia_sexstrigata,HSP70,Xestia_sexstrigata
HSP70|Agriphila_tristella,HSP70,Agriphila_tristella
HSP70|Giardia_intestinalis,HSP70,Giardia_intestinalis
HSP70|Lobophora_halterata,HSP70,Lobophora_halterata
HSP70|Trichinella_patagoniensis,HSP70,Trichinella_patagoniensis
HSP70|Cervus_elaphus,HSP70,Cervus_elaphus
HSP70|Epicampocera_succincta,HSP70,Epicampocera_succincta
HSP70|Lamellibrachia_satsuma,HSP70,Lamellibrachia_satsuma
HSP70|Sparganum_proliferum,HSP70,Sparganum_proliferum
HSP70|Tapirus_indicus,HSP70,Tapirus_indicus
HSP70|Drosophila_ficusphila,HSP70,Drosophila_ficusphila
HSP70|Electrophaes_corylata,HSP70,Electrophaes_corylata
HSP70|Leptopilina_boulardi,HSP70,Leptopilina_boulardi
HSP70|Oryzias_latipes,HSP70,Oryzias_latipes
HSP70|Verasper_variegatus,HSP70,Verasper_variegatus
HSP70|Acanthopagrus_latus,HSP70,Acanthopagrus_latus
HSP70|Dipus_sagitta,HSP70,Dipus_sagitta
HSP70|Volucella_bombylans,HSP70,Volucella_bombylans
HSP70|Podarcis_raffonei,HSP70,Podarcis_raffonei
HSP70|Platypus_cylindrus,HSP70,Platypus_cylindrus
HSP70|Allacma_fusca,HSP70,Allacma_fusca
HSP70|Thumatha_senex,HSP70,Thumatha_senex
HSP70|Spodoptera_frugiperda,HSP70,Spodoptera_frugiperda
HSP70|Apocheima_hispidaria,HSP70,Apocheima_hispidaria
HSP70|Aporia_crataegi,HSP70,Aporia_crataegi
HSP70|Parambassis_ranga,HSP70,Parambassis_ranga
HSP70|Cercocebus_atys,HSP70,Cercocebus_atys
HSP70|Acromyrmex_charruanus,HSP70,Acromyrmex_charruanus
HSP70|Vidua_chalybeata,HSP70,Vidua_chalybeata
HSP70|Polyodon_spathula,HSP70,Polyodon_spathula
HSP70|Portevinia_maculata,HSP70,Portevinia_maculata
HSP70|Mugil_cephalus,HSP70,Mugil_cephalus
HSP70|Eupeodes_luniger,HSP70,Eupeodes_luniger
HSP70|Vanessa_tameamea,HSP70,Vanessa_tameamea
HSP70|Paramuricea_clavata,HSP70,Paramuricea_clavata
HSP70|Triparma_laevis_f._longispina,HSP70,Triparma_laevis_f._longispina
HSP70|Caerostris_darwini,HSP70,Caerostris_darwini
HSP70|Mauremys_mutica,HSP70,Mauremys_mutica
HSP70|Nycticebus_bengalensis,HSP70,Nycticebus_bengalensis
HSP70|Solenopsis_invicta,HSP70,Solenopsis_invicta
HSP70|Sphenella_marginata,HSP70,Sphenella_marginata
HSP70|Ctenocephalides_felis,HSP70,Ctenocephalides_felis
HSP70|Manduca_sexta,HSP70,Manduca_sexta
HSP70|Catocala_fraxini,HSP70,Catocala_fraxini
HSP70|Pangasianodon_gigas,HSP70,Pangasianodon_gigas
RPS3|Lama_guanicoe_cacsilensis,RPS3,Lama_guanicoe_cacsilensis
RPS3|Hirtodrosophila_cameraria,RPS3,Hirtodrosophila_cameraria
RPS3|Chaetops_frenatus,RPS3,Chaetops_frenatus
RPS3|Wallemia_ichthyophaga_EXF-994,RPS3,Wallemia_ichthyophaga_EXF-994
RPS3|Tieghemostelium_lacteum,RPS3,Tieghemostelium_lacteum
RPS3|Coemansia_sp._S2,RPS3,Coemansia_sp._S2
RPS3|Penicillium_freii,RPS3,Penicillium_freii
RPS3|Ateles_geoffroyi,RPS3,Ateles_geoffroyi
RPS3|Cryptomeria_japonica,RPS3,Cryptomeria_japonica
RPS3|Actinidia_chinensis_var._chinensis,RPS3,Actinidia_chinensis_var._chinensis
RPS3|Eudyptes_robustus,RPS3,Eudyptes_robustus
RPS3|Venturia_canescens,RPS3,Venturia_canescens
RPS3|Lasiosphaeria_miniovina,RPS3,Lasiosphaeria_miniovina
RPS3|Saprochaete_ingens,RPS3,Saprochaete_ingens
RPS3|Tulosesus_angulatus,RPS3,Tulosesus_angulatus
RPS3|Fusarium_proliferatum_ET1,RPS3,Fusarium_proliferatum_ET1
RPS3|Lasioglossum_pauxillum,RPS3,Lasioglossum_pauxillum
RPS3|Callithrix_jacchus,RPS3,Callithrix_jacchus
RPS3|Microctonus_hyperodae,RPS3,Microctonus_hyperodae
RPS3|Mythimna_loreyi,RPS3,Mythimna_loreyi
RPS3|Coprinopsis_cinerea_okayama7#130,RPS3,Coprinopsis_cinerea_okayama7#130
RPS3|Notocelia_uddmanniana,RPS3,Notocelia_uddmanniana
RPS3|Aspergillus_flavus,RPS3,Aspergillus_flavus
RPS3|Boletus_edulis,RPS3,Boletus_edulis
RPS3|Diaporthaceae_sp._PMI_573,RPS3,Diaporthaceae_sp._PMI_573
RPS3|Lutra_lutra,RPS3,Lutra_lutra
RPS3|Ceratitis_capitata,RPS3,Ceratitis_capitata
RPS3|Panicum_hallii,RPS3,Panicum_hallii
RPS3|Teloschistes_peruensis,RPS3,Teloschistes_peruensis
RPS3|Physcia_stellaris,RPS3,Physcia_stellaris
RPS3|Anoplophora_glabripennis,RPS3,Anoplophora_glabripennis
RPS3|Candida_albicans_P34048,RPS3,Candida_albicans_P34048
RPS3|Solanum_pennellii,RPS3,Solanum_pennellii
RPS3|Bombus_breviceps,RPS3,Bombus_breviceps
RPS3|Coptis_chinensis,RPS3,Coptis_chinensis
RPS3|Colletotrichum_scovillei,RPS3,Colletotrichum_scovillei
RPS3|Dinothrombium_tinctorium,RPS3,Dinothrombium_tinctorium
RPS3|Melampsora_larici-populina_98AG31,RPS3,Melampsora_larici-populina_98AG31
RPS3|Coemansia_sp._RSA_486,RPS3,Coemansia_sp._RSA_486
RPS3|Calidris_pugnax,RPS3,Calidris_pugnax
RPS3|Diarsia_mendica,RPS3,Diarsia_mendica
RPS3|Plasmodium_falciparum_NF54,RPS3,Plasmodium_falciparum_NF54
RPS3|Alligator_sinensis,RPS3,Alligator_sinensis
RPS3|Mirounga_leonina,RPS3,Mirounga_leonina
RPS3|Candida_pseudojiufengensis,RPS3,Candida_pseudojiufengensis
RPS3|Pycnora_praestabilis,RPS3,Pycnora_praestabilis
RPS3|Tulasnella_sp._332,RPS3,Tulasnella_sp._332
RPS3|Gymnopus_androsaceus_JB14,RPS3,Gymnopus_androsaceus_JB14
RPS3|Larus_smithsonianus,RPS3,Larus_smithsonianus
RPS3|Fusarium_oxysporum_f._sp._albedinis,RPS3,Fusarium_oxysporum_f._sp._albedinis
RPS3|Hippolais_icterina,RPS3,Hippolais_icterina
RPS3|Rhincodon_typus,RPS3,Rhincodon_typus
RPS3|Copsychus_sechellarum,RPS3,Copsychus_sechellarum
RPS3|Zonotrichia_albicollis,RPS3,Zonotrichia_albicollis
RPS3|Eudyptes_chrysocome,RPS3,Eudyptes_chrysocome
RPS3|Vigna_unguiculata,RPS3,Vigna_unguiculata
RPS3|Botrytis_cinerea_B05.10,RPS3,Botrytis_cinerea_B05.10
RPS3|Entomortierella_parvispora,RPS3,Entomortierella_parvispora
RPS3|Fonsecaea_multimorphosa_CBS_102226,RPS3,Fonsecaea_multimorphosa_CBS_102226
RPS3|Melipona_bicolor,RPS3,Melipona_bicolor
RPS3|Candida_dubliniensis_CD36,RPS3,Candida_dubliniensis_CD36
RPS3|Saccharomyces_cerevisiae_YJM1208,RPS3,Saccharomyces_cerevisiae_YJM1208
RPS3|Toxoplasma_gondii_TgCatPRC2,RPS3,Toxoplasma_gondii_TgCatPRC2
RPS3|Pectinophora_gossypiella,RPS3,Pectinophora_gossypiella
RPS3|Russula_ochroleuca,RPS3,Russula_ochroleuca
RPS3|Ostrinia_furnacalis,RPS3,Ostrinia_furnacalis
RPS3|Pyricularia_pennisetigena,RPS3,Pyricularia_pennisetigena
RPS3|Paramecium_pentaurelia,RPS3,Paramecium_pentaurelia
RPS3|Moesziomyces_aphidis,RPS3,Moesziomyces_aphidis
RPS3|Circinella_minor,RPS3,Circinella_minor
RPS3|Cryptococcus_gattii_WM276,RPS3,Cryptococcus_gattii_WM276
RPS3|Gossypium_barbadense,RPS3,Gossypium_barbadense
RPS3|Cervus_hanglu_yarkandensis,RPS3,Cervus_hanglu_yarkandensis
RPS3|Naegleria_lovaniensis,RPS3,Naegleria_lovaniensis
RPS3|Mytilus_californianus,RPS3,Mytilus_californianus
RPS3|Phytophthora_aleatoria,RPS3,Phytophthora_aleatoria
RPS3|Coprinellus_micaceus,RPS3,Coprinellus_micaceus
RPS3|Aspergillus_sergii,RPS3,Aspergillus_sergii
RPS3|Acanthaster_planci,RPS3,Acanthaster_planci
RPS3|Lipomyces_starkeyi_NRRL_Y-11557,RPS3,Lipomyces_starkeyi_NRRL_Y-11557
GAPDH|Daphnia_galeata,GAPDH,Daphnia_galeata
GAPDH|Uncinocarpus_reesii_1704,GAPDH,Uncinocarpus_reesii_1704
GAPDH|Dothidotthia_symphoricarpi_CBS_119687,GAPDH,Dothidotthia_symphoricarpi_CBS_119687
GAPDH|Zeugodacus_cucurbitae,GAPDH,Zeugodacus_cucurbitae
GAPDH|Talpa_occidentalis,GAPDH,Talpa_occidentalis
GAPDH|Phakopsora_pachyrhizi,GAPDH,Phakopsora_pachyrhizi
GAPDH|Millerozyma_farinosa_CBS_7064,GAPDH,Millerozyma_farinosa_CBS_7064
GAPDH|Mus_caroli,GAPDH,Mus_caroli
GAPDH|Gonapodya_sp._JEL0774,GAPDH,Gonapodya_sp._JEL0774
GAPDH|Polyplosphaeria_fusca,GAPDH,Polyplosphaeria_fusca
GAPDH|Vidua_macroura,GAPDH,Vidua_macroura
GAPDH|Penicillium_glabrum,GAPDH,Penicillium_glabrum
GAPDH|Parastagonospora_nodorum,GAPDH,Parastagonospora_nodorum
GAPDH|Aureobasidium_sp._EXF-12344,GAPDH,Aureobasidium_sp._EXF-12344
GAPDH|Acronicta_leporina,GAPDH,Acronicta_leporina
GAPDH|Ascochyta_lentis,GAPDH,Ascochyta_lentis
GAPDH|Claviceps_monticola,GAPDH,Claviceps_monticola
GAPDH|Rostrohypoxylon_terebratum,GAPDH,Rostrohypoxylon_terebratum
GAPDH|Volvox_reticuliferus,GAPDH,Volvox_reticuliferus
GAPDH|Branchiostoma_lanceolatum,GAPDH,Branchiostoma_lanceolatum
GAPDH|Scatophagus_argus,GAPDH,Scatophagus_argus
GAPDH|Daldinia_sp._EC12,GAPDH,Daldinia_sp._EC12
GAPDH|Delphinus_delphis,GAPDH,Delphinus_delphis
GAPDH|Bombus_affinis,GAPDH,Bombus_affinis
GAPDH|Lobosporangium_transversale,GAPDH,Lobosporangium_transversale
GAPDH|Obba_rivulosa,GAPDH,Obba_rivulosa
GAPDH|Aspergillus_campestris_IBT_28561,GAPDH,Aspergillus_campestris_IBT_28561
GAPDH|Budorcas_taxicolor,GAPDH,Budorcas_taxicolor
GAPDH|Symbiodinium_microadriaticum,GAPDH,Symbiodinium_microadriaticum
GAPDH|Thermothielavioides_terrestris,GAPDH,Thermothielavioides_terrestris
GAPDH|Populus_tomentosa,GAPDH,Populus_tomentosa
GAPDH|Halicephalobus_sp._NKZ332,GAPDH,Halicephalobus_sp._NKZ332
GAPDH|Aix_galericulata,GAPDH,Aix_galericulata
GAPDH|Stachybotrys_chlorohalonata_IBT_40285,GAPDH,Stachybotrys_chlorohalonata_IBT_40285
GAPDH|Gyalolechia_ehrenbergii,GAPDH,Gyalolechia_ehrenbergii
GAPDH|Komagataella_phaffii_GS115,GAPDH,Komagataella_phaffii_GS115
GAPDH|Cryptococcus_neoformans_var._grubii_AD1-83a,GAPDH,Cryptococcus_neoformans_var._grubii_AD1-83a
GAPDH|Suillus_occidentalis,GAPDH,Suillus_occidentalis
GAPDH|Aspergillus_sclerotioniger_CBS_115572,GAPDH,Aspergillus_sclerotioniger_CBS_115572
GAPDH|Eospalax_fontanierii,GAPDH,Eospalax_fontanierii
GAPDH|Aspergillus_carbonarius_ITEM_5010,GAPDH,Aspergillus_carbonarius_ITEM_5010
GAPDH|Tropheus_moorii,GAPDH,Tropheus_moorii
GAPDH|Carpinus_fangiana,GAPDH,Carpinus_fangiana
GAPDH|Candida_metapsilosis,GAPDH,Candida_metapsilosis
GAPDH|Vespula_vulgaris,GAPDH,Vespula_vulgaris
GAPDH|Eupithecia_insigniata,GAPDH,Eupithecia_insigniata
GAPDH|Sesbania_bispinosa,GAPDH,Sesbania_bispinosa
GAPDH|Monosporascus_sp._MG133,GAPDH,Monosporascus_sp._MG133
GAPDH|Branchiostoma_floridae,GAPDH,Branchiostoma_floridae
GAPDH|Serendipita_vermifera,GAPDH,Serendipita_vermifera
GAPDH|Iris_pallida,GAPDH,Iris_pallida
GAPDH|Cnaphalocrocis_medinalis,GAPDH,Cnaphalocrocis_medinalis
GAPDH|Vigna_unguiculata,GAPDH,Vigna_unguiculata
GAPDH|Plutella_xylostella,GAPDH,Plutella_xylostella
GAPDH|Bos_mutus,GAPDH,Bos_mutus
GAPDH|Micractinium_conductrix,GAPDH,Micractinium_conductrix
GAPDH|Megachile_rotundata,GAPDH,Megachile_rotundata
GAPDH|Diaporthaceae_sp._PMI_573,GAPDH,Diaporthaceae_sp._PMI_573
GAPDH|Tricholaema_leucomelas,GAPDH,Tricholaema_leucomelas
GAPDH|Trichophyton_soudanense_CBS_452.61,GAPDH,Trichophyton_soudanense_CBS_452.61
GAPDH|Zerene_cesonia,GAPDH,Zerene_cesonia
GAPDH|Maylandia_zebra,GAPDH,Maylandia_zebra
GAPDH|Toxotes_jaculatrix,GAPDH,Toxotes_jaculatrix
GAPDH|Nothoprocta_ornata,GAPDH,Nothoprocta_ornata
GAPDH|Nysson_spinosus,GAPDH,Nysson_spinosus
GAPDH|Tolypocladium_paradoxum,GAPDH,Tolypocladium_paradoxum
GAPDH|Mycena_sanguinolenta,GAPDH,Mycena_sanguinolenta
GAPDH|Cavia_porcellus,GAPDH,Cavia_porcellus
GAPDH|Cryptococcus_neoformans_var._grubii_A1-35-8,GAPDH,Cryptococcus_neoformans_var._grubii_A1-35-8
GAPDH|Lipotes_vexillifer,GAPDH,Lipotes_vexillifer
GAPDH|Scytalidium_sp._3C,GAPDH,Scytalidium_sp._3C
GAPDH|Fusarium_proliferatum_ET1,GAPDH,Fusarium_proliferatum_ET1
GAPDH|Bondarzewia_mesenterica,GAPDH,Bondarzewia_mesenterica
GAPDH|Scheffersomyces_stipitis_CBS_6054,GAPDH,Scheffersomyces_stipitis_CBS_6054
GAPDH|Cryptococcus_neoformans_var._grubii_A5-35-17,GAPDH,Cryptococcus_neoformans_var._grubii_A5-35-17
GAPDH|Helicoverpa_zea,GAPDH,Helicoverpa_zea
GAPDH|Otus_sunia,GAPDH,Otus_sunia
GAPDH|Botrytis_elliptica,GAPDH,Botrytis_elliptica
GAPDH|Penicillium_daleae,GAPDH,Penicillium_daleae
GAPDH|Juglans_microcarpa_x_Juglans_regia,GAPDH,Juglans_microcarpa_x_Juglans_regia
CYTC|Branchiostoma_floridae,CYTC,Branchiostoma_floridae
CYTC|Mecyna_flavalis,CYTC,Mecyna_flavalis
CYTC|Haliaeetus_albicilla,CYTC,Haliaeetus_albicilla
CYTC|Aricia_agestis,CYTC,Aricia_agestis
CYTC|Halteria_grandinella,CYTC,Halteria_grandinella
CYTC|Tulasnella_sp._403,CYTC,Tulasnella_sp._403
CYTC|Myxobolus_squamalis,CYTC,Myxobolus_squamalis
CYTC|Coccidioides_posadasii_RMSCC_3488,CYTC,Coccidioides_posadasii_RMSCC_3488
CYTC|Laodelphax_striatellus,CYTC,Laodelphax_striatellus
CYTC|Cuscuta_campestris,CYTC,Cuscuta_campestris
CYTC|Tilletia_controversa,CYTC,Tilletia_controversa
CYTC|Plenodomus_lingam,CYTC,Plenodomus_lingam
CYTC|Fusarium_poae,CYTC,Fusarium_poae
CYTC|Suillus_placidus,CYTC,Suillus_placidus
CYTC|Ananas_comosus,CYTC,Ananas_comosus
CYTC|Plasmodium_gallinaceum,CYTC,Plasmodium_gallinaceum
CYTC|Penicillium_angulare,CYTC,Penicillium_angulare
CYTC|Smittium_simulii,CYTC,Smittium_simulii
CYTC|Candida_theae,CYTC,Candida_theae
