family,seq_id,flagged_by_kmeans_minority,flagged_by_robust_z,high_confidence
CYTC,CYTC|Colletotrichum_tofieldiae,True,True,True
CYTC,CYTC|Emmonsia_crescens,True,True,True
CYTC,CYTC|Pneumocystis_oryctolagi,True,True,True
CYTC,CYTC|Siniperca_chuatsi,True,True,True
CYTC,CYTC|Penicillium_daleae,True,True,True
CYTC,CYTC|Sarcophaga_caerulescens,True,True,True
CYTC,CYTC|Hyaloscypha_variabilis_F,True,False,False
CYTC,CYTC|Plasmodium_knowlesi,True,False,False
CYTC,CYTC|Gossypium_trilobum,True,True,True
CYTC,CYTC|Aspergillus_viridinutans,True,True,True
CYTC,CYTC|Cladophialophora_yegresii_CBS_114405,True,True,True
CYTC,CYTC|Moesziomyces_antarcticus_T-34,True,True,True
CYTC,CYTC|Andrena_minutula,True,True,True
CYTC,CYTC|Kwoniella_heveanensis_BCC8398,True,True,True
GAPDH,GAPDH|Mus_pahari,False,True,False
GAPDH,GAPDH|Apodemus_sylvaticus,False,True,False
GAPDH,GAPDH|Naganishia_albida,False,True,False
GAPDH,GAPDH|Teleiodes_luculella,True,True,True
GAPDH,GAPDH|Rattus_norvegicus,False,True,False
GAPDH,GAPDH|Mesocricetus_auratus,True,True,True
GAPDH,GAPDH|Synanthedon_andrenaeformis,True,True,True
GAPDH,GAPDH|Zeuzera_pyrina,True,True,True
GAPDH,GAPDH|Mus_minutoides,False,True,False
GAPDH,GAPDH|Rhodotorula_toruloides_ATCC_204091,False,True,False
GAPDH,GAPDH|Plasmodium_falciparum_FCH_4,False,True,False
GAPDH,GAPDH|Porites_evermanni,True,True,True
GAPDH,GAPDH|Gautieria_morchelliformis,False,True,False
GAPDH,GAPDH|Vairimorpha_apis_BRL_01,True,True,True
GAPDH,GAPDH|Drepana_falcataria,True,True,True
GAPDH,GAPDH|Armillaria_solidipes,False,True,False
GAPDH,GAPDH|Cynocephalus_volans,True,True,True
HSP70,HSP70|Polyodon_spathula,True,False,False
HSP70,HSP70|Cervus_elaphus,True,True,True
HSP70,HSP70|Dipus_sagitta,True,False,False
HSP70,HSP70|Acanthopagrus_latus,True,False,False
HSP70,HSP70|Oreochromis_niloticus,True,False,False
HSP70,HSP70|Verasper_variegatus,True,False,False
HSP70,HSP70|Nycticebus_bengalensis,True,False,False
HSP70,HSP70|Mustela_putorius_furo,True,False,False
HSP70,HSP70|Mugil_cephalus,True,False,False
HSP70,HSP70|Pedinophyceae_sp._YPF-701,True,True,True
HSP70,HSP70|Oncorhynchus_nerka,True,False,False
HSP70,HSP70|Vicugna_pacos,True,False,False
HSP70,HSP70|Pleurodeles_waltl,True,False,False
HSP70,HSP70|Callorhinus_ursinus,True,False,False
HSP70,HSP70|Eulemur_rufifrons,True,False,False
HSP70,HSP70|Vidua_chalybeata,True,True,True
HSP70,HSP70|Meleagris_gallopavo,True,True,True
HSP70,HSP70|Dermochelys_coriacea,True,False,False
HSP70,HSP70|Mauremys_mutica,True,False,False
HSP70,HSP70|Cercocebus_atys,True,False,False
HSP70,HSP70|Tapirus_indicus,True,False,False
HSP70,HSP70|Carlito_syrichta,True,False,False
HSP70,HSP70|Podarcis_raffonei,True,False,False
HSP70,HSP70|Oryzias_latipes,True,False,False
HSP70,HSP70|Zosterops_borbonicus,True,True,True
HSP70,HSP70|Pangasianodon_gigas,True,False,False
HSP70,HSP70|Parambassis_ranga,True,False,False
RPS3,RPS3|Physcia_stellaris,False,True,False
RPS3,RPS3|Boletus_edulis,True,True,True
RPS3,RPS3|Colletotrichum_scovillei,False,True,False
RPS3,RPS3|Bombus_breviceps,False,True,False
RPS3,RPS3|Ateles_geoffroyi,True,True,True
RPS3,RPS3|Paramecium_pentaurelia,False,True,False
