seq_id,family,species,model,embedding_dim,UMAP1,UMAP2
HSP70|Zosterops_borbonicus,HSP70,Zosterops_borbonicus,esm2_t30_150M_UR50D,640,-0.08625234,17.833136
HSP70|Meleagris_gallopavo,HSP70,Meleagris_gallopavo,esm2_t30_150M_UR50D,640,-0.18380368,17.806118
HSP70|Haliotis_rufescens,HSP70,Haliotis_rufescens,esm2_t30_150M_UR50D,640,8.423311,15.216995
HSP70|Eulemur_rufifrons,HSP70,Eulemur_rufifrons,esm2_t30_150M_UR50D,640,-0.99526775,17.971188
HSP70|Onchocerca_ochengi,HSP70,Onchocerca_ochengi,esm2_t30_150M_UR50D,640,7.1621327,14.291316
HSP70|Callorhinus_ursinus,HSP70,Callorhinus_ursinus,esm2_t30_150M_UR50D,640,0.18209906,18.013006
HSP70|Vicugna_pacos,HSP70,Vicugna_pacos,esm2_t30_150M_UR50D,640,0.12396634,17.916645
HSP70|Mustela_putorius_furo,HSP70,Mustela_putorius_furo,esm2_t30_150M_UR50D,640,0.20232841,17.981363
HSP70|Musotima_nitidalis,HSP70,Musotima_nitidalis,esm2_t30_150M_UR50D,640,8.416343,14.1803
HSP70|Pleurodeles_waltl,HSP70,Pleurodeles_waltl,esm2_t30_150M_UR50D,640,9.897272,16.000286
HSP70|Chelonus_insularis,HSP70,Chelonus_insularis,esm2_t30_150M_UR50D,640,6.4497604,14.760344
HSP70|Pedinophyceae_sp._YPF-701,HSP70,Pedinophyceae_sp._YPF-701,esm2_t30_150M_UR50D,640,9.065987,14.52954
HSP70|Carlito_syrichta,HSP70,Carlito_syrichta,esm2_t30_150M_UR50D,640,-0.9210817,17.928213
HSP70|Scaeva_pyrastri,HSP70,Scaeva_pyrastri,esm2_t30_150M_UR50D,640,7.037758,14.585345
HSP70|Oncorhynchus_nerka,HSP70,Oncorhynchus_nerka,esm2_t30_150M_UR50D,640,10.360833,16.387691
HSP70|Hyles_vespertilio,HSP70,Hyles_vespertilio,esm2_t30_150M_UR50D,640,8.353652,14.068996
HSP70|Bactrocera_oleae,HSP70,Bactrocera_oleae,esm2_t30_150M_UR50D,640,6.971701,14.338161
HSP70|Homarus_americanus,HSP70,Homarus_americanus,esm2_t30_150M_UR50D,640,8.275653,15.0884285
HSP70|Mya_arenaria,HSP70,Mya_arenaria,esm2_t30_150M_UR50D,640,8.388236,15.141696
HSP70|Oreochromis_niloticus,HSP70,Oreochromis_niloticus,esm2_t30_150M_UR50D,640,10.245525,16.281084
HSP70|Bombus_terrestris,HSP70,Bombus_terrestris,esm2_t30_150M_UR50D,640,6.2549376,14.528444
HSP70|Zerene_cesonia,HSP70,Zerene_cesonia,esm2_t30_150M_UR50D,640,8.362523,14.105114
HSP70|Diachrysia_chrysitis,HSP70,Diachrysia_chrysitis,esm2_t30_150M_UR50D,640,8.15307,14.190142
HSP70|Anaspis_maculata,HSP70,Anaspis_maculata,esm2_t30_150M_UR50D,640,8.052106,14.913961
HSP70|Biomphalaria_glabrata,HSP70,Biomphalaria_glabrata,esm2_t30_150M_UR50D,640,8.499342,15.215016
HSP70|Dendrolimus_punctatus,HSP70,Dendrolimus_punctatus,esm2_t30_150M_UR50D,640,8.532902,14.028169
HSP70|Dermochelys_coriacea,HSP70,Dermochelys_coriacea,esm2_t30_150M_UR50D,640,-0.9901335,18.092806
HSP70|Mythimna_loreyi,HSP70,Mythimna_loreyi,esm2_t30_150M_UR50D,640,8.3186,13.528555
HSP70|Schistosoma_guineensis,HSP70,Schistosoma_guineensis,esm2_t30_150M_UR50D,640,7.2658234,14.3329735
