family,seq_id,flagged_by_kmeans_minority,flagged_by_robust_z,high_confidence
CYTC,CYTC|Aspergillus_burnettii,True,False,False
CYTC,CYTC|Blastomyces_parvus,True,True,True
CYTC,CYTC|Podochytrium_sp._JEL0797,True,True,True
CYTC,CYTC|Neodiprion_virginianus,True,True,True
CYTC,CYTC|Cariama_cristata,True,True,True
CYTC,CYTC|Linnemannia_hyalina,True,True,True
CYTC,CYTC|Cordyceps_javanica,True,True,True
CYTC,CYTC|Coemansia_sp._RSA_532,True,True,True
CYTC,CYTC|Lachnellula_willkommii,True,True,True
CYTC,CYTC|Coniochaeta_sp._PMI_546,True,True,True
CYTC,CYTC|Acaulospora_colombiana,True,True,True
CYTC,CYTC|Aspergillus_neoniger_CBS_115656,True,True,True
CYTC,CYTC|Fonsecaea_pedrosoi_CBS_271.37,True,True,True
CYTC,CYTC|Aspergillus_oryzae,True,True,True
CYTC,CYTC|Perkinsus_chesapeaki,True,True,True
CYTC,CYTC|Silurus_asotus,True,True,True
CYTC,CYTC|Saitozyma_sp._JCM_24511,True,True,True
CYTC,CYTC|Diplocarpon_rosae,True,True,True
CYTC,CYTC|Geoglossum_simile,True,True,True
CYTC,CYTC|Calycina_marina,True,True,True
GAPDH,GAPDH|Porites_lobata,True,True,True
GAPDH,GAPDH|Brettanomyces_bruxellensis_AWRI1499,True,False,False
GAPDH,GAPDH|Apodemus_sylvaticus,False,True,False
GAPDH,GAPDH|Acleris_literana,True,True,True
GAPDH,GAPDH|Teleiodes_luculella,True,True,True
GAPDH,GAPDH|Plasmodium_falciparum_FCH_4,True,False,False
GAPDH,GAPDH|Corythaixoides_concolor,True,False,False
GAPDH,GAPDH|Motacilla_alba_alba,True,True,True
GAPDH,GAPDH|Cydia_splendana,True,False,False
GAPDH,GAPDH|Zeuzera_pyrina,True,True,True
GAPDH,GAPDH|Mycena_metata,True,False,False
GAPDH,GAPDH|Acomys_cahirinus,True,True,True
GAPDH,GAPDH|Lobulomyces_angularis,True,True,True
GAPDH,GAPDH|Balearica_regulorum_gibbericeps,True,False,False
GAPDH,GAPDH|Reinhardtius_hippoglossoides,True,False,False
GAPDH,GAPDH|Rhodotorula_toruloides_ATCC_204091,True,True,True
GAPDH,GAPDH|Arvicola_amphibius,True,True,True
GAPDH,GAPDH|Ciccaba_nigrolineata,True,False,False
GAPDH,GAPDH|Schaereria_dolodes,True,False,False
GAPDH,GAPDH|Erebia_ligea,True,True,True
GAPDH,GAPDH|Euphydryas_editha,True,True,True
GAPDH,GAPDH|Hypsopygia_costalis,True,True,True
GAPDH,GAPDH|Synanthedon_andrenaeformis,True,True,True
GAPDH,GAPDH|Pammene_fasciana,True,True,True
GAPDH,GAPDH|Anania_crocealis,True,True,True
GAPDH,GAPDH|Synanthedon_myopaeformis,True,True,True
GAPDH,GAPDH|Kazachstania_naganishii_CBS_8797,True,False,False
GAPDH,GAPDH|Elysia_marginata,True,False,False
GAPDH,GAPDH|Diabrotica_balteata,False,True,False
GAPDH,GAPDH|Hibiscus_syriacus,True,False,False
GAPDH,GAPDH|Postia_placenta,True,False,False
GAPDH,GAPDH|Melanargia_galathea,True,True,True
GAPDH,GAPDH|Penelope_pileata,True,False,False
