seq_id,family,species,model,embedding_dim,UMAP1,UMAP2
HSP70|Zosterops_borbonicus,HSP70,Zosterops_borbonicus,esm2_t30_150M_UR50D,640,-3.8897955,9.28212
HSP70|Meleagris_gallopavo,HSP70,Meleagris_gallopavo,esm2_t30_150M_UR50D,640,-3.8976984,9.248629
HSP70|Haliotis_rufescens,HSP70,Haliotis_rufescens,esm2_t30_150M_UR50D,640,-3.241214,11.547998
HSP70|Eulemur_rufifrons,HSP70,Eulemur_rufifrons,esm2_t30_150M_UR50D,640,-3.9088795,9.567463
HSP70|Onchocerca_ochengi,HSP70,Onchocerca_ochengi,esm2_t30_150M_UR50D,640,-3.3300562,12.781276
HSP70|Callorhinus_ursinus,HSP70,Callorhinus_ursinus,esm2_t30_150M_UR50D,640,-3.9066029,9.4402685
HSP70|Vicugna_pacos,HSP70,Vicugna_pacos,esm2_t30_150M_UR50D,640,-3.8146937,9.435329
HSP70|Mustela_putorius_furo,HSP70,Mustela_putorius_furo,esm2_t30_150M_UR50D,640,-3.9562206,9.448451
HSP70|Musotima_nitidalis,HSP70,Musotima_nitidalis,esm2_t30_150M_UR50D,640,-2.7417448,12.052505
HSP70|Pleurodeles_waltl,HSP70,Pleurodeles_waltl,esm2_t30_150M_UR50D,640,-3.3256016,11.251065
HSP70|Chelonus_insularis,HSP70,Chelonus_insularis,esm2_t30_150M_UR50D,640,-2.7218637,13.166632
HSP70|Pedinophyceae_sp._YPF-701,HSP70,Pedinophyceae_sp._YPF-701,esm2_t30_150M_UR50D,640,-2.2301474,11.968304
HSP70|Carlito_syrichta,HSP70,Carlito_syrichta,esm2_t30_150M_UR50D,640,-3.8512325,9.60261
HSP70|Scaeva_pyrastri,HSP70,Scaeva_pyrastri,esm2_t30_150M_UR50D,640,-3.4977047,13.027249
HSP70|Oncorhynchus_nerka,HSP70,Oncorhynchus_nerka,esm2_t30_150M_UR50D,640,-3.561041,10.692853
HSP70|Hyles_vespertilio,HSP70,Hyles_vespertilio,esm2_t30_150M_UR50D,640,-2.5823853,12.404017
