seq_id,family,species,model,embedding_dim,UMAP1,UMAP2
HSP70|Zosterops_borbonicus,HSP70,Zosterops_borbonicus,esm2_t12_35M_UR50D,480,15.832009,-6.857616
HSP70|Meleagris_gallopavo,HSP70,Meleagris_gallopavo,esm2_t12_35M_UR50D,480,15.909376,-6.7683325
HSP70|Haliotis_rufescens,HSP70,Haliotis_rufescens,esm2_t12_35M_UR50D,480,16.550453,-4.3082137
HSP70|Eulemur_rufifrons,HSP70,Eulemur_rufifrons,esm2_t12_35M_UR50D,480,15.82424,-6.798598
HSP70|Onchocerca_ochengi,HSP70,Onchocerca_ochengi,esm2_t12_35M_UR50D,480,16.68981,-2.3019388
HSP70|Callorhinus_ursinus,HSP70,Callorhinus_ursinus,esm2_t12_35M_UR50D,480,15.662704,-7.0022693
HSP70|Vicugna_pacos,HSP70,Vicugna_pacos,esm2_t12_35M_UR50D,480,15.617252,-7.0500216
HSP70|Mustela_putorius_furo,HSP70,Mustela_putorius_furo,esm2_t12_35M_UR50D,480,15.654477,-7.0038257
HSP70|Musotima_nitidalis,HSP70,Musotima_nitidalis,esm2_t12_35M_UR50D,480,17.008928,-3.3204253
HSP70|Pleurodeles_waltl,HSP70,Pleurodeles_waltl,esm2_t12_35M_UR50D,480,16.144129,-5.290736
HSP70|Chelonus_insularis,HSP70,Chelonus_insularis,esm2_t12_35M_UR50D,480,17.005342,-2.291181
HSP70|Pedinophyceae_sp._YPF-701,HSP70,Pedinophyceae_sp._YPF-701,esm2_t12_35M_UR50D,480,16.338127,-5.1996784
HSP70|Carlito_syrichta,HSP70,Carlito_syrichta,esm2_t12_35M_UR50D,480,15.729978,-6.68667
HSP70|Scaeva_pyrastri,HSP70,Scaeva_pyrastri,esm2_t12_35M_UR50D,480,16.610554,-1.6921781
HSP70|Oncorhynchus_nerka,HSP70,Oncorhynchus_nerka,esm2_t12_35M_UR50D,480,16.170681,-5.533149
HSP70|Hyles_vespertilio,HSP70,Hyles_vespertilio,esm2_t12_35M_UR50D,480,17.047445,-3.3085692
HSP70|Bactrocera_oleae,HSP70,Bactrocera_oleae,esm2_t12_35M_UR50D,480,16.63063,-2.0129569
HSP70|Homarus_americanus,HSP70,Homarus_americanus,esm2_t12_35M_UR50D,480,16.623854,-4.1775436
HSP70|Mya_arenaria,HSP70,Mya_arenaria,esm2_t12_35M_UR50D,480,16.666359,-4.0680184
HSP70|Oreochromis_niloticus,HSP70,Oreochromis_niloticus,esm2_t12_35M_UR50D,480,16.07234,-5.6168127
HSP70|Bombus_terrestris,HSP70,Bombus_terrestris,esm2_t12_35M_UR50D,480,17.121637,-2.4679072
HSP70|Zerene_cesonia,HSP70,Zerene_cesonia,esm2_t12_35M_UR50D,480,17.067627,-3.1383421
HSP70|Diachrysia_chrysitis,HSP70,Diachrysia_chrysitis,esm2_t12_35M_UR50D,480,17.09769,-3.5203469
HSP70|Anaspis_maculata,HSP70,Anaspis_maculata,esm2_t12_35M_UR50D,480,16.984343,-3.1580672
HSP70|Biomphalaria_glabrata,HSP70,Biomphalaria_glabrata,esm2_t12_35M_UR50D,480,16.54181,-4.340258
HSP70|Dendrolimus_punctatus,HSP70,Dendrolimus_punctatus,esm2_t12_35M_UR50D,480,17.075558,-3.5673604
HSP70|Dermochelys_coriacea,HSP70,Dermochelys_coriacea,esm2_t12_35M_UR50D,480,15.858627,-6.5032387
HSP70|Mythimna_loreyi,HSP70,Mythimna_loreyi,esm2_t12_35M_UR50D,480,17.243998,-3.0657148
HSP70|Schistosoma_guineensis,HSP70,Schistosoma_guineensis,esm2_t12_35M_UR50D,480,16.706043,-2.4837594
HSP70|Venusia_cambrica,HSP70,Venusia_cambrica,esm2_t12_35M_UR50D,480,17.257656,-3.3617098
HSP70|Hydriomena_furcata,HSP70,Hydriomena_furcata,esm2_t12_35M_UR50D,480,17.177443,-3.6213417
HSP70|Vespula_pensylvanica,HSP70,Vespula_pensylvanica,esm2_t12_35M_UR50D,480,17.074217,-2.3681443
HSP70|Aethina_tumida,HSP70,Aethina_tumida,esm2_t12_35M_UR50D,480,17.122828,-2.2955072
HSP70|Lycaena_phlaeas,HSP70,Lycaena_phlaeas,esm2_t12_35M_UR50D,480,16.812988,-3.7351282
HSP70|Culex_pipiens_pallens,HSP70,Culex_pipiens_pallens,esm2_t12_35M_UR50D,480,16.781326,-3.692488
HSP70|Xestia_sexstrigata,HSP70,Xestia_sexstrigata,esm2_t12_35M_UR50D,480,17.299704,-3.0720794
HSP70|Agriphila_tristella,HSP70,Agriphila_tristella,esm2_t12_35M_UR50D,480,17.07156,-3.543581
HSP70|Giardia_intestinalis,HSP70,Giardia_intestinalis,esm2_t12_35M_UR50D,480,16.820618,-3.0634701
HSP70|Lobophora_halterata,HSP70,Lobophora_halterata,esm2_t12_35M_UR50D,480,17.148575,-3.975244
HSP70|Trichinella_patagoniensis,HSP70,Trichinella_patagoniensis,esm2_t12_35M_UR50D,480,16.683443,-2.459933
HSP70|Cervus_elaphus,HSP70,Cervus_elaphus,esm2_t12_35M_UR50D,480,15.5931225,-7.0916243
HSP70|Epicampocera_succincta,HSP70,Epicampocera_succincta,esm2_t12_35M_UR50D,480,16.660856,-1.7788919
HSP70|Lamellibrachia_satsuma,HSP70,Lamellibrachia_satsuma,esm2_t12_35M_UR50D,480,16.501474,-4.4311643
HSP70|Sparganum_proliferum,HSP70,Sparganum_proliferum,esm2_t12_35M_UR50D,480,17.068798,-3.8856843
HSP70|Tapirus_indicus,HSP70,Tapirus_indicus,esm2_t12_35M_UR50D,480,15.741814,-6.695486
HSP70|Drosophila_ficusphila,HSP70,Drosophila_ficusphila,esm2_t12_35M_UR50D,480,16.910505,-2.0909019
HSP70|Electrophaes_corylata,HSP70,Electrophaes_corylata,esm2_t12_35M_UR50D,480,16.866684,-3.5552104
HSP70|Leptopilina_boulardi,HSP70,Leptopilina_boulardi,esm2_t12_35M_UR50D,480,17.091291,-2.7079644
HSP70|Oryzias_latipes,HSP70,Oryzias_latipes,esm2_t12_35M_UR50D,480,16.060503,-5.3461766
HSP70|Verasper_variegatus,HSP70,Verasper_variegatus,esm2_t12_35M_UR50D,480,16.245403,-5.090427
HSP70|Acanthopagrus_latus,HSP70,Acanthopagrus_latus,esm2_t12_35M_UR50D,480,16.069391,-5.718978
HSP70|Dipus_sagitta,HSP70,Dipus_sagitta,esm2_t12_35M_UR50D,480,15.841683,-6.764018
HSP70|Volucella_bombylans,HSP70,Volucella_bombylans,esm2_t12_35M_UR50D,480,16.636812,-1.722918
HSP70|Podarcis_raffonei,HSP70,Podarcis_raffonei,esm2_t12_35M_UR50D,480,15.933639,-6.1389155
HSP70|Platypus_cylindrus,HSP70,Platypus_cylindrus,esm2_t12_35M_UR50D,480,16.872984,-2.141725
HSP70|Allacma_fusca,HSP70,Allacma_fusca,esm2_t12_35M_UR50D,480,17.213797,-3.1428397
HSP70|Thumatha_senex,HSP70,Thumatha_senex,esm2_t12_35M_UR50D,480,17.222555,-3.8055315
HSP70|Spodoptera_frugiperda,HSP70,Spodoptera_frugiperda,esm2_t12_35M_UR50D,480,16.97878,-3.4149096
HSP70|Apocheima_hispidaria,HSP70,Apocheima_hispidaria,esm2_t12_35M_UR50D,480,16.936499,-3.5666978
HSP70|Aporia_crataegi,HSP70,Aporia_crataegi,esm2_t12_35M_UR50D,480,17.11262,-3.8400602
HSP70|Parambassis_ranga,HSP70,Parambassis_ranga,esm2_t12_35M_UR50D,480,16.073761,-5.584074
HSP70|Cercocebus_atys,HSP70,Cercocebus_atys,esm2_t12_35M_UR50D,480,15.794379,-6.7661023
HSP70|Acromyrmex_charruanus,HSP70,Acromyrmex_charruanus,esm2_t12_35M_UR50D,480,17.043463,-2.343183
HSP70|Vidua_chalybeata,HSP70,Vidua_chalybeata,esm2_t12_35M_UR50D,480,15.74007,-6.8957953
HSP70|Polyodon_spathula,HSP70,Polyodon_spathula,esm2_t12_35M_UR50D,480,15.936079,-6.039958
HSP70|Portevinia_maculata,HSP70,Portevinia_maculata,esm2_t12_35M_UR50D,480,16.609642,-1.6462544
HSP70|Mugil_cephalus,HSP70,Mugil_cephalus,esm2_t12_35M_UR50D,480,16.127636,-5.511124
HSP70|Eupeodes_luniger,HSP70,Eupeodes_luniger,esm2_t12_35M_UR50D,480,16.695179,-1.6212834
HSP70|Vanessa_tameamea,HSP70,Vanessa_tameamea,esm2_t12_35M_UR50D,480,16.790895,-3.144278
HSP70|Paramuricea_clavata,HSP70,Paramuricea_clavata,esm2_t12_35M_UR50D,480,16.876825,-2.047765
HSP70|Triparma_laevis_f._longispina,HSP70,Triparma_laevis_f._longispina,esm2_t12_35M_UR50D,480,16.988884,-3.024984
HSP70|Caerostris_darwini,HSP70,Caerostris_darwini,esm2_t12_35M_UR50D,480,16.602512,-1.6798353
HSP70|Mauremys_mutica,HSP70,Mauremys_mutica,esm2_t12_35M_UR50D,480,15.789155,-6.801304
HSP70|Nycticebus_bengalensis,HSP70,Nycticebus_bengalensis,esm2_t12_35M_UR50D,480,15.561879,-7.1122646
HSP70|Solenopsis_invicta,HSP70,Solenopsis_invicta,esm2_t12_35M_UR50D,480,17.218515,-2.4116116
HSP70|Sphenella_marginata,HSP70,Sphenella_marginata,esm2_t12_35M_UR50D,480,16.704382,-1.7979333
HSP70|Ctenocephalides_felis,HSP70,Ctenocephalides_felis,esm2_t12_35M_UR50D,480,16.809965,-2.0684502
HSP70|Manduca_sexta,HSP70,Manduca_sexta,esm2_t12_35M_UR50D,480,17.201637,-3.2237763
HSP70|Catocala_fraxini,HSP70,Catocala_fraxini,esm2_t12_35M_UR50D,480,17.194181,-3.8365917
HSP70|Pangasianodon_gigas,HSP70,Pangasianodon_gigas,esm2_t12_35M_UR50D,480,15.997626,-5.7061596
RPS3|Lama_guanicoe_cacsilensis,RPS3,Lama_guanicoe_cacsilensis,esm2_t12_35M_UR50D,480,6.3141975,16.126095
RPS3|Hirtodrosophila_cameraria,RPS3,Hirtodrosophila_cameraria,esm2_t12_35M_UR50D,480,6.6496415,15.787572
RPS3|Chaetops_frenatus,RPS3,Chaetops_frenatus,esm2_t12_35M_UR50D,480,6.167999,16.557177
RPS3|Wallemia_ichthyophaga_EXF-994,RPS3,Wallemia_ichthyophaga_EXF-994,esm2_t12_35M_UR50D,480,7.8782754,13.986694
RPS3|Tieghemostelium_lacteum,RPS3,Tieghemostelium_lacteum,esm2_t12_35M_UR50D,480,6.8961306,14.650716
RPS3|Coemansia_sp._S2,RPS3,Coemansia_sp._S2,esm2_t12_35M_UR50D,480,7.7189755,14.529732
RPS3|Penicillium_freii,RPS3,Penicillium_freii,esm2_t12_35M_UR50D,480,8.943878,13.1855345
RPS3|Ateles_geoffroyi,RPS3,Ateles_geoffroyi,esm2_t12_35M_UR50D,480,-1.8006108,1.4874307
RPS3|Cryptomeria_japonica,RPS3,Cryptomeria_japonica,esm2_t12_35M_UR50D,480,6.9969482,15.155033
RPS3|Actinidia_chinensis_var._chinensis,RPS3,Actinidia_chinensis_var._chinensis,esm2_t12_35M_UR50D,480,7.0277505,15.335505
RPS3|Eudyptes_robustus,RPS3,Eudyptes_robustus,esm2_t12_35M_UR50D,480,6.1847043,16.486746
RPS3|Venturia_canescens,RPS3,Venturia_canescens,esm2_t12_35M_UR50D,480,7.0021205,14.269156
RPS3|Lasiosphaeria_miniovina,RPS3,Lasiosphaeria_miniovina,esm2_t12_35M_UR50D,480,8.632821,13.304005
RPS3|Saprochaete_ingens,RPS3,Saprochaete_ingens,esm2_t12_35M_UR50D,480,7.9753933,14.640786
RPS3|Tulosesus_angulatus,RPS3,Tulosesus_angulatus,esm2_t12_35M_UR50D,480,8.118595,13.870049
RPS3|Fusarium_proliferatum_ET1,RPS3,Fusarium_proliferatum_ET1,esm2_t12_35M_UR50D,480,8.738532,12.947252
RPS3|Lasioglossum_pauxillum,RPS3,Lasioglossum_pauxillum,esm2_t12_35M_UR50D,480,6.933336,14.470843
RPS3|Callithrix_jacchus,RPS3,Callithrix_jacchus,esm2_t12_35M_UR50D,480,6.2633576,16.119196
RPS3|Microctonus_hyperodae,RPS3,Microctonus_hyperodae,esm2_t12_35M_UR50D,480,7.069655,14.435802
RPS3|Mythimna_loreyi,RPS3,Mythimna_loreyi,esm2_t12_35M_UR50D,480,7.3013034,14.099102
RPS3|Coprinopsis_cinerea_okayama7#130,RPS3,Coprinopsis_cinerea_okayama7#130,esm2_t12_35M_UR50D,480,8.037137,13.737151
RPS3|Notocelia_uddmanniana,RPS3,Notocelia_uddmanniana,esm2_t12_35M_UR50D,480,7.214381,14.015976
RPS3|Aspergillus_flavus,RPS3,Aspergillus_flavus,esm2_t12_35M_UR50D,480,8.881588,13.1103945
RPS3|Boletus_edulis,RPS3,Boletus_edulis,esm2_t12_35M_UR50D,480,-1.3873068,0.8958865
RPS3|Diaporthaceae_sp._PMI_573,RPS3,Diaporthaceae_sp._PMI_573,esm2_t12_35M_UR50D,480,8.644135,12.997627
RPS3|Lutra_lutra,RPS3,Lutra_lutra,esm2_t12_35M_UR50D,480,6.3056602,16.13231
