seq_id,family,species,model,embedding_dim
HSP70|Zosterops_borbonicus,HSP70,Zosterops_borbonicus,esm2_t30_150M_UR50D,640
HSP70|Meleagris_gallopavo,HSP70,Meleagris_gallopavo,esm2_t30_150M_UR50D,640
HSP70|Haliotis_rufescens,HSP70,Haliotis_rufescens,esm2_t30_150M_UR50D,640
HSP70|Eulemur_rufifrons,HSP70,Eulemur_rufifrons,esm2_t30_150M_UR50D,640
HSP70|Onchocerca_ochengi,HSP70,Onchocerca_ochengi,esm2_t30_150M_UR50D,640
HSP70|Callorhinus_ursinus,HSP70,Callorhinus_ursinus,esm2_t30_150M_UR50D,640
HSP70|Vicugna_pacos,HSP70,Vicugna_pacos,esm2_t30_150M_UR50D,640
HSP70|Mustela_putorius_furo,HSP70,Mustela_putorius_furo,esm2_t30_150M_UR50D,640
HSP70|Musotima_nitidalis,HSP70,Musotima_nitidalis,esm2_t30_150M_UR50D,640
HSP70|Pleurodeles_waltl,HSP70,Pleurodeles_waltl,esm2_t30_150M_UR50D,640
HSP70|Chelonus_insularis,HSP70,Chelonus_insularis,esm2_t30_150M_UR50D,640
HSP70|Pedinophyceae_sp._YPF-701,HSP70,Pedinophyceae_sp._YPF-701,esm2_t30_150M_UR50D,640
HSP70|Carlito_syrichta,HSP70,Carlito_syrichta,esm2_t30_150M_UR50D,640
HSP70|Scaeva_pyrastri,HSP70,Scaeva_pyrastri,esm2_t30_150M_UR50D,640
HSP70|Oncorhynchus_nerka,HSP70,Oncorhynchus_nerka,esm2_t30_150M_UR50D,640
HSP70|Hyles_vespertilio,HSP70,Hyles_vespertilio,esm2_t30_150M_UR50D,640
HSP70|Bactrocera_oleae,HSP70,Bactrocera_oleae,esm2_t30_150M_UR50D,640
HSP70|Homarus_americanus,HSP70,Homarus_americanus,esm2_t30_150M_UR50D,640
HSP70|Mya_arenaria,HSP70,Mya_arenaria,esm2_t30_150M_UR50D,640
HSP70|Oreochromis_niloticus,HSP70,Oreochromis_niloticus,esm2_t30_150M_UR50D,640
HSP70|Bombus_terrestris,HSP70,Bombus_terrestris,esm2_t30_150M_UR50D,640
HSP70|Zerene_cesonia,HSP70,Zerene_cesonia,esm2_t30_150M_UR50D,640
HSP70|Diachrysia_chrysitis,HSP70,Diachrysia_chrysitis,esm2_t30_150M_UR50D,640
HSP70|Anaspis_maculata,HSP70,Anaspis_maculata,esm2_t30_150M_UR50D,640
HSP70|Biomphalaria_glabrata,HSP70,Biomphalaria_glabrata,esm2_t30_150M_UR50D,640
HSP70|Dendrolimus_punctatus,HSP70,Dendrolimus_punctatus,esm2_t30_150M_UR50D,640
HSP70|Dermochelys_coriacea,HSP70,Dermochelys_coriacea,esm2_t30_150M_UR50D,640
HSP70|Mythimna_loreyi,HSP70,Mythimna_loreyi,esm2_t30_150M_UR50D,640
HSP70|Schistosoma_guineensis,HSP70,Schistosoma_guineensis,esm2_t30_150M_UR50D,640
HSP70|Venusia_cambrica,HSP70,Venusia_cambrica,esm2_t30_150M_UR50D,640
